datetime,total_visitor,total_accomodation
1/1/2014,193017,16332
2/1/2014,185851,17101
3/1/2014,204004,17438
4/1/2014,186373,17943
5/1/2014,190716,18123
6/1/2014,213950,18293
7/1/2014,173914,18592
8/1/2014,224492,18872
9/1/2014,179723,19102
10/1/2014,184012,19282
11/1/2014,186945,19828
12/1/2014,196298,20232
1/1/2015,174525,20694
2/1/2015,178124,20898
3/1/2015,208180,21764
4/1/2015,166819,22406
5/1/2015,195175,22635
6/1/2015,179499,22944
7/1/2015,179825,23754
8/1/2015,258916,24029
9/1/2015,217994,24375
10/1/2015,203444,24703
11/1/2015,223093,24945
12/1/2015,191632,25501
1/1/2016,158888,25742
2/1/2016,171533,25976
3/1/2016,208788,26193
4/1/2016,193740,27070
5/1/2016,193208,27423
6/1/2016,156326,28001
7/1/2016,222135,28789
8/1/2016,276260,29588
9/1/2016,234887,30417
10/1/2016,243007,30959
11/1/2016,225298,31186
12/1/2016,227935,31673
1/1/2017,193788,32519
2/1/2017,189438,32887
3/1/2017,221620,33697
4/1/2017,216704,34165
5/1/2017,210595,34820
6/1/2017,162333,35705
7/1/2017,285733,36306
8/1/2017,286365,36982
9/1/2017,224855,37884
10/1/2017,221062,38718
11/1/2017,224079,39476
12/1/2017,221483,40252
1/1/2018,210983,40582
2/1/2018,203418,41145
3/1/2018,244612,42050
4/1/2018,223968,42943
5/1/2018,190335,43435
6/1/2018,182943,44006
7/1/2018,221631,44235
8/1/2018,308447,44584
9/1/2018,250180,45080
10/1/2018,244913,45291
11/1/2018,206905,46003
12/1/2018,225076,46879
1/1/2019,175159,47192
2/1/2019,196295,47579
3/1/2019,214366,48006
4/1/2019,197112,48516
5/1/2019,156796,48814
6/1/2019,190120,49069
7/1/2019,267508,49892
8/1/2019,251808,50756
9/1/2019,211956,51362
10/1/2019,189426,51631
11/1/2019,183768,52143
12/1/2019,186810,52632
1/1/2020,173614,53380
2/1/2020,131237,53728
3/1/2020,52721,54395
4/1/2020,424,54839
5/1/2020,414,55530
6/1/2020,924,56237
7/1/2020,3146,56802
8/1/2020,4487,57484
9/1/2020,7528,57885
10/1/2020,10529,58239
11/1/2020,14365,58889
12/1/2020,21858,59590
1/1/2021,1248,59863
2/1/2021,5966,60359
3/1/2021,10198,60576
4/1/2021,15482,61417
5/1/2021,12782,61834
6/1/2021,13483,62095
7/1/2021,5471,62911
8/1/2021,1071,63153
9/1/2021,4135,63378
10/1/2021,13731,63617
11/1/2021,19046,63948
12/1/2021,16749,64646
1/1/2022,14089,65075
2/1/2022,15406,65383
3/1/2022,23320,65755
4/1/2022,36061,66390
5/1/2022,57844,67068
6/1/2022,85587,67370
7/1/2022,119197,68094
8/1/2022,121438,68569
9/1/2022,111139,69382
10/1/2022,112588,69626
11/1/2022,113958,69843
12/1/2022,124555,71203
